point_id,city,lat,lon,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,walkability_score,hotels,attractions,museums,parks,business_centers,residential_buildings,total_pois,attractiveness_score,competition_score,accessibility_score,suitability_score
Lille_50.621107_3.078039,Lille,50.62110657027032,3.078039485770648,21,1,18,0,1,2,14,32,102,2,0,0,5,19,9,309,13.03,2.44,34.3,49.17
Lille_50.621107_3.081590,Lille,50.62110657027032,3.081590188537443,9,0,7,0,1,1,7,27,132,2,0,0,2,13,9,280,6.67,1.0,21.59,46.09
Lille_50.621107_3.085141,Lille,50.62110657027032,3.085140891304238,17,0,11,0,1,1,13,21,141,1,0,0,2,10,6,287,6.37,1.0,25.29,46.69
Lille_50.621107_3.088692,Lille,50.62110657027032,3.088691594071033,19,0,7,0,1,0,12,27,112,1,0,0,1,2,7,239,3.26,1.0,16.47,44.32
Lille_50.621107_3.092242,Lille,50.62110657027032,3.0922422968378283,25,0,7,0,2,0,13,19,117,0,0,0,2,1,5,227,5.45,1.0,16.17,44.19
Lille_50.621107_3.095793,Lille,50.62110657027032,3.0957929996046234,26,0,6,0,2,0,13,34,86,0,0,0,4,2,5,221,8.68,1.0,17.33,44.51
Lille_50.621107_3.099344,Lille,50.62110657027032,3.0993437023714185,18,0,2,0,2,0,11,35,82,0,0,0,3,3,6,205,7.03,1.0,15.92,44.05
Lille_50.621107_3.102894,Lille,50.62110657027032,3.1028944051382137,12,0,1,0,1,0,11,28,108,0,0,0,5,4,6,220,9.39,1.0,15.77,43.9
Lille_50.621107_3.106445,Lille,50.62110657027032,3.106445107905009,9,0,1,0,0,0,9,29,105,0,0,0,4,4,7,198,6.96,1.0,14.39,43.62
Lille_50.621107_3.109996,Lille,50.62110657027032,3.109995810671804,8,0,2,0,0,2,8,19,113,0,0,0,2,4,5,185,3.9,1.0,28.46,46.28
Lille_50.621107_3.113547,Lille,50.62110657027032,3.113546513438599,7,0,2,0,0,2,4,24,126,1,0,0,4,5,9,205,7.25,1.0,26.79,46.31
Lille_50.621107_3.117097,Lille,50.62110657027032,3.1170972162053943,13,0,2,0,0,2,3,35,121,1,0,0,2,3,9,210,3.8,1.0,27.55,46.47
Lille_50.621107_3.120648,Lille,50.62110657027032,3.1206479189721894,14,0,2,0,0,2,9,45,180,1,0,0,4,3,10,307,6.93,1.0,35.37,48.14
Lille_50.621107_3.124199,Lille,50.62110657027032,3.1241986217389845,99,2,16,2,2,3,18,67,356,1,0,0,6,6,9,663,14.87,6.99,59.16,53.41
Lille_50.623359_3.021228,Lille,50.62335882252257,3.0212282415019254,0,0,1,0,0,0,4,26,41,0,1,0,4,4,3,115,7.03,1.0,8.15,41.81
Lille_50.623359_3.024779,Lille,50.62335882252257,3.0247789442687205,0,0,1,0,0,0,1,33,72,0,0,0,6,4,4,166,10.09,1.0,8.13,41.88
Lille_50.623359_3.028330,Lille,50.62335882252257,3.028329647035516,9,0,2,0,2,0,4,46,111,0,0,0,8,4,4,250,15.0,1.0,13.56,43.25
Lille_50.623359_3.031880,Lille,50.62335882252257,3.031880349802311,19,0,5,0,2,0,8,39,118,0,0,0,12,3,3,276,21.28,1.0,15.61,43.86
Lille_50.623359_3.035431,Lille,50.62335882252257,3.035431052569106,35,0,7,4,4,1,14,50,137,0,2,0,13,8,3,356,29.08,1.29,30.2,47.56
Lille_50.623359_3.038982,Lille,50.62335882252257,3.038981755335901,49,0,18,4,5,2,15,57,133,0,2,0,10,14,1,380,26.92,1.81,39.82,50.28
Lille_50.623359_3.042532,Lille,50.62335882252257,3.042532458102696,112,2,40,5,5,2,13,41,153,0,2,1,12,16,0,483,32.69,7.47,36.69,49.83
Lille_50.623359_3.046083,Lille,50.62335882252257,3.0460831608694914,187,2,71,6,7,4,9,42,202,1,3,2,14,21,0,665,41.36,10.23,51.68,55.06
Lille_50.623359_3.049634,Lille,50.62335882252257,3.0496338636362865,193,2,85,2,6,3,7,35,180,1,1,2,14,21,0,631,37.81,10.46,40.45,53.27
Lille_50.623359_3.053185,Lille,50.62335882252257,3.0531845664030817,197,2,81,3,6,2,5,29,159,1,5,2,13,22,1,597,37.27,10.6,29.4,51.17
Lille_50.623359_3.056735,Lille,50.62335882252257,3.056735269169877,149,0,67,3,6,2,13,32,129,1,5,1,12,27,3,511,35.57,5.5,34.52,53.06
Lille_50.623359_3.060286,Lille,50.62335882252257,3.060285971936672,85,0,43,3,5,0,20,30,109,0,4,1,8,27,4,398,26.82,3.14,22.53,49.24
Lille_50.623359_3.063837,Lille,50.62335882252257,3.063836674703467,71,0,44,5,6,0,18,26,158,0,4,3,7,28,5,439,28.19,2.62,22.2,49.18
Lille_50.623359_3.067387,Lille,50.62335882252257,3.0673873774702622,63,0,44,4,5,0,24,28,167,0,0,4,7,27,5,463,26.12,2.32,27.09,49.98
Lille_50.623359_3.070938,Lille,50.62335882252257,3.0709380802370574,41,0,36,4,4,0,15,27,153,1,0,4,9,22,5,395,27.13,1.51,20.03,47.66
Lille_50.623359_3.074489,Lille,50.62335882252257,3.0744887830038525,24,0,36,2,3,1,13,24,152,1,0,3,7,28,5,372,22.33,1.0,26.12,49.09
Lille_50.623359_3.078039,Lille,50.62335882252257,3.078039485770648,16,0,15,0,1,1,12,32,112,3,0,2,5,21,8,300,13.35,1.0,25.22,47.79
Lille_50.623359_3.081590,Lille,50.62335882252257,3.081590188537443,10,0,10,0,2,1,10,26,138,3,0,0,2,16,8,281,8.27,1.0,23.79,46.8
